Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24141269,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:11:27 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0795,"1100L, 240L",1100L,1
360-24141275,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:08:49 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0796,"1100L, 240L",1100L,1
360-24141280,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:07:13 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0798,"1100L, 240L",1100L,1
360-24140769,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:05:56 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1768,"1100L, 240L",240L,1
360-24141964,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:05:17 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1199,"1100L, 240L",240L,1
360-24141673,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:05:00 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5643,"1100L, 240L",1100L,1
360-24141772,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:04:22 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1835,"1100L, 240L",240L,1
360-24140951,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:03:42 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5638,"1100L, 240L",1100L,1
360-24141775,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,10:00:11 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4949,"1100L, 240L",240L,1
360-24141913,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:42:06 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDA-1929,"1100L, 240L",240L,1
